=== HSK1 ===
爱|ài|yêu
离婚|líhūn|li hôn
梨|lí|quả lê
理论|lǐlùn|lý luận
理由|lǐyóu|lí do
力量|lìliàng|sức mạnh
立即|lìjí|lập tức
立刻|lìkè|lập tức
利润|lìrùn|lợi nhuận
利息|lìxī|lợi tức
利益|lìyì|lợi ích
利用|lìyòng|tận dụng, lợi dụng
连忙|liánmáng|vội vã
连续|liánxù|liên tục
联合|liánhé|liên hiệp
恋爱|liànài|yêu đương
良好|liánghǎo|tốt đẹp
粮食|liángshí|lương thực
亮|liàng|sáng
了不起|liǎobùqǐ|giỏi giang
列车|lièchē|tàu hỏa
临时|línshí|lâm thời, thời vụ, tạm thời
灵活|línghuó|linh hoạt
铃|líng|chuông
零件|língjiàn|linh kiện
零食|língshí|đồ ăn vặt
领导|lǐngdǎo|lãnh đạo
领域|lǐngyù|lĩnh vực
浏览|liúlǎn|đọc lướt
流传|liúchuán|lưu truyền, lan truyền
流泪|liúlèi|rơi lệ
龙|lóng|rồng
漏|lòu|dột
陆地|lùdì|lục địa, đất liền
陆续|lùxù|lục tục, liên tiếp
录取|lùqǔ|tuyển chọn
录音|lùyīn|ghi âm
轮流|lúnliú|luân lưu, thay phiên
论文|lùnwén|luận văn
逻辑|luójí|logic
落后|luòhòu|lạc hậu
骂|mà|mắng mỏ
麦克风|màikèfēng|microphone
馒头|mántóu|bánh bao không nhân, màn thầu
满足|mǎnzú|đáp ứng (yêu cầu, điều kiện, tính tò mò, lòng tham)
毛病|máobìng|tật xấu, lỗi
矛盾|máodùn|mâu thuẫn
冒险|màoxiǎn|mạo hiểm
贸易|màoyì|thương mại
眉毛|méimáo|lông mày
媒体|méitǐ|truyền thông, báo chí
煤炭|méitàn|than
美术|měishù|mỹ thuật
魅力|mèilì|sức hút
梦想|mèngxiǎng|ước mơ
秘密|mìmì|bí mật
秘书|mìshū|thư ký
密切|mìqiè|mật thiết
蜜蜂|mìfēng|con ong
面对|miànduì|đối mặt (chứng cứ, tương lai, khủng hoảng, thách thức), đối diện
面积|miànjī|diện tích
面临|miànlín|đứng trước (khó khăn, nguy hiểm, thách thức)
苗条|miáotiáo|thon thả
描写|miáoxiě|miêu tả
敏感|mǐngǎn|nhạy cảm
名牌|míngpái|thương hiệu nổi tiếng
名片|míngpiàn|danh thiếp
名胜古迹|míngshènggǔjì|danh lam thắng cảnh
明确|míngquè|rõ ràng, rành mạch
明显|míngxiǎn|rõ ràng
明星|míngxīng|minh tinh
命令|mìnglìng|mệnh lệnh
命运|mìngyùn|vận mệnh
摸|mō|sờ
模仿|mófǎng|bắt chước
模糊|móhu|mơ hồ
模特|mótè|người mẫu
摩托车|mótuōchē|xe máy
陌生|mòshēng|lạ lẫm
某|mǒu|nào đó
木头|mùtóu|khúc gỗ
目标|mùbiāo|mục tiêu
目录|mùlù|mục lục
目前|mùqián|trước mắt, hiện nay
哪怕|nǎpà|cho dù
难怪|nánguài|chẳng trách
难免|nánmiǎn|khó tránh
脑袋|nǎodài|não
内部|nèibù|nội bộ
内科|nèikē|khoa nội
嫩|nèn|mềm, non
能干|nénggàn|được việc
能源|néngyuán|tài nguyên
嗯|ńg|ừ, ừm
年代|niándài|thời đại
年纪|niánjì|tuổi tác
念|niàn|đọc
宁可|nìngkě|thà
牛仔裤|niúzǎikù|quần bò
农村|nóngcūn|nông thôn
农民|nóngmín|nông dân
农业|nóngyè|nông nghiệp
浓|nóng|nồng, đậm
女士|nǚshì|quý cô, quý bà
欧洲|ōuzhōu|châu Âu
偶然|ǒurán|ngẫu nhiên
拍|pāi|vỗ
派|pài|cử, phái
盼望|pànwàng|mong chờ
培训|péixùn|bồi dưỡng, tập huấn
培养|péiyǎng|nuôi dưỡng, hình thành
赔偿|péicháng|bồi thường
佩服|pèifú|khâm phục
配合|pèihé|phối hợp
盆|pén|chậu
碰|pèng|gặp phải
批|pī|loạt, lô (lượng từ)
批准|pīzhǔn|phê chuẩn, đồng ý
披|pī|khoác
疲劳|píláo|mệt mỏi
匹|pǐ|con (lượng từ cho ngựa)
片|piàn|chiếc, lát, mảnh (lượng từ cho lá, bánh mì, đất đai )
片面|piànmiàn|phiến diện
飘|piāo|bay
拼音|pīnyīn|phiên âm
频道|píndào|kênh
平|píng|bằng, đều
平安|píngān|bình an
平常|píngcháng|bình thường
平等|píngděng|bình đẳng
平方|píngfāng|bình phương
平衡|pínghéng|cân bằng
平静|píngjìng|bình tĩnh
平均|píngjūn|trung bình, bình quân
评价|píngjià|đánh giá
凭|píng|dựa vào
迫切|pòqiè|cấp bách
破产|pòchǎn|phá sản
破坏|pòhuài|phá hoại
期待|qīdài|kỳ vọng
期间|qījiān|khoảng thời gian
其余|qíyú|còn lại
奇迹|qíjì|kỳ tích
企业|qǐyè|nhà máy, xí nghiệp
启发|qǐfā|gợi mở, gợi ý
气氛|qìfēn|không khí (cuộc họp, buổi tiệc)
汽油|qìyóu|xăng
谦虚|qiānxū|khiêm tốn
签|qiān|ký (tên)
前途|qiántú|tiền đồ
浅|qiǎn|nhạt
欠|qiàn|nợ
枪|qiāng|súng
强调|qiángdiào|nhấn mạnh
强烈|qiángliè|mãnh liệt, mạnh mẽ
墙|qiáng|tường
抢|qiǎng|cướp
悄悄|qiāoqiāo|lặng lẽ
瞧|qiáo|liếc nhìn
巧妙|qiǎomiào|khéo léo
切|qiè|cắt
亲爱|qīnài|thân yêu
亲切|qīnqiè|thân thiết
亲自|qīnzì|tự thân
勤奋|qínfèn|cần cù
青|qīng|màu xanh non
青春|qīngchūn|thanh xuân
青少年|qīngshàonián|thanh thiếu niên
轻视|qīngshì|coi khinh, khinh thường
轻易|qīngyì|dễ dàng (làm trạng ngữ), khinh suất
清淡|qīngdàn|thanh đạm
情景|qíngjǐng|cảnh tượng
情绪|qíngxù|tâm trạng
请求|qǐngqiú|thỉnh cầu
庆祝|qìngzhù|chúc mừng
球迷|qiúmí|người hâm mộ bóng
趋势|qūshì|xu thế
取消|qǔxiāo|hủy bỏ
娶|qǔ|lấy (vợ)
去世|qùshì|tạ thế
圈|quān|vòng
权力|quánlì|quyền lực
权利|quánlì|quyền lợi
全面|quánmiàn|toàn diện
劝|quàn|khuyên
缺乏|quēfá|thiếu
确定|quèdìng|xác định
确认|quèrèn|xác nhận
群|qún|đám
燃烧|ránshāo|đốt cháy
绕|rào|vòng vèo
热爱|rèài|yêu (cuộc sống, học sinh, thiên nhiên, âm nhạc, bạn bè, người thân)
热烈|rèliè|nhiệt liệt
热心|rèxīn|nhiệt tình (người, người bạn), nhiệt huyết
人才|réncái|nhân tài
人口|rénkǒu|dân số
人类|rénlèi|loài người
人民币|rénmínbì|nhân dân tệ
人生|rénshēng|đời người
人事|rénshì|nhân sự
人物|rénwù|nhân vật
人员|rényuán|nhân viên
忍不住|rěnbùzhù|không nhịn được
日常|rìcháng|thường ngày
日程|rìchéng|lịch trình
日历|rìlì|quyển lịch
日期|rìqī|ngày tháng
日用品|rìyòngpǐn|đồ dùng
日子|rìzi|ngày
如何|rúhé|như thế nào
如今|rújīn|hiện nay
软|ruǎn|mềm
软件|ruǎnjiàn|phần mềm
弱|ruò|yếu ớt
洒|sǎ|vãi, vung
嗓子|sǎngzi|cổ họng
色彩|sècǎi|màu sắc
杀|shā|giết
沙漠|shāmò|sa mạc
沙滩|shātān|bãi cát
傻|shǎ|ngốc nghếch
晒|shài|phơi, tắm nắng
删除|shānchú|xóa bỏ
闪电|shǎndiàn|chớp
扇子|shànzi|cái quạt
善良|shànliáng|lương thiện, hiền lành
善于|shànyú|giỏi về việc gì đó
伤害|shānghài|làm hại
商品|shāngpǐn|sản phẩm
商务|shāngwù|thương gia (hạng, khoang),
商业|shāngyè|thương mại
上当|shàngdàng|mắc lừa
蛇|shé|rắn
舍不得|shěbùdé|không nỡ lòng
设备|shèbèi|thiết bị
设计|shèjì|thiết kế
设施|shèshī|cơ sở vật chất
射击|shèjī|bắn
摄影|shèyǐng|quay phim, chụp ảnh
伸|shēn|vươn, duỗi, kéo dài
身材|shēncái|cơ thể, dáng
身份|shēnfèn|thân phận
深刻|shēnkè|sâu sắc
神话|shénhuà|thần thoại
神秘|shénmì|thần bí
升|shēng|thăng, lên, lít (đơn vị đo thể tích)
生产|shēngchǎn|sản xuất
生动|shēngdòng|sinh động
生长|shēngzhǎng|sinh trưởng, lớn
声调|shēngdiào|thanh điệu
绳子|shéngzi|dây thừng
省略|shěnglüè|tỉnh lược
胜利|shènglì|thắng lợi
失眠|shīmián|mất ngủ
失去|shīqù|mất đi
失业|shīyè|thất nghiệp
诗|shī|thơ
狮子|shīzi|sư tử
湿润|shīrùn|ẩm ướt
石头|shítou|hòn đá
时差|shíchā|lệch múi giờ
时代|shídài|thời đại
时刻|shíkè|khoảnh khắc
时髦|shímáo|mốt
时期|shíqī|thời kì
时尚|shíshàng|thời thượng
实话|shíhuà|lời nói thật
实践|shíjiàn|thực tiễn
实习|shíxí|thực tập
实现|shíxiàn|thực hiện (kế hoạch, nguyện vọng, ước mơ)
实验|shíyàn|thí nghiệm
实用|shíyòng|hữu ích
食物|shíwù|đồ ăn
使劲儿|shǐjìnér|ra sức, lấy sức
始终|shǐzhōng|từ đầu đến cuối
士兵|shìbīng|binh sĩ
市场|shìchǎng|chợ
似的|shìde|giống như….
事实|shìshí|sự thật
事物|shìwù|sự vật
事先|shìxiān|trước khi việc xảy ra
试卷|shìjuàn|bài thi
收获|shōuhuò|thu hoạch
收据|shōujù|giấy biên nhận
手工|shǒugōng|thủ công
手术|shǒushù|phẫu thuật
手套|shǒutào|găng tay
手续|shǒuxù|thủ tục
手指|shǒuzhǐ|ngón tay
首|shǒu|đầu
寿命|shòumìng|tuổi thọ
受伤|shòushāng|bị thương
书架|shūjià|giá sách
梳子|shūzi|cái lược
舒适|shūshì|thoải mái
输入|shūrù|nhập
蔬菜|shūcài|rau xanh
熟练|shúliàn|thành thục
属于|shǔyú|thuộc về
鼠标|shǔbiāo|chuột máy tính
数|shǔ|đếm
数据|shùjù|số liệu
数码|shùmǎ|kỹ thuật số
摔倒|shuāidǎo|ngã nhào
甩|shuǎi|vung, hất, bỏ lại
双方|shuāngfāng|hai bên, song phương
税|shuì|thuế
说不定|shuōbùdìng|chưa biết chừng
说服|shuōfú|thuyết phục
丝绸|sīchóu|tơ lụa
丝毫|sīháo|một chút (dùng dạng phủ định)
私人|sīrén|tư nhân
思考|sīkǎo|suy nghĩ
思想|sīxiǎng|tư tưởng
撕|sī|xé
似乎|sìhū|dường như
搜索|sōusuǒ|tìm kiếm
宿舍|sùshè|ký túc xá
随身|suíshēn|mang theo người
随时|suíshí|bất cứ lúc nào
随手|suíshǒu|tiện tay
碎|suì|vỡ vụn
损失|sǔnshī|tổn thất
缩短|suōduǎn|thu hẹp (khoảng cách), rút ngắn (thời gian), cắt ngắn (câu chuyện)
所|suǒ|trợ từ
锁|suǒ|khóa
台阶|táijiē|bậc thềm, bậc
太极拳|tàijíquán|thái cực quyền
太太|tàitai|vợ
谈判|tánpàn|đàm phán
坦率|tǎnshuài|thẳng thắn
烫|tàng|bỏng
逃|táo|chạy trốn
逃避|táobì|trốn tránh
桃|táo|đào
淘气|táoqì|tinh nghịch
讨价还价|tǎojiàhuánjià|mặc cả
套|tào|bộ (quần áo), căn (nhà)
特色|tèsè|đặc sắc
特殊|tèshū|đặc biệt, đặc thù (quan hệ, nghi lễ, yêu cầu, đãi ngộ)
特征|tèzhēng|đặc trưng
疼爱|téngài|chiều chuộng, yêu chiều
提倡|tíchàng|đề xướng
提纲|tígāng|đề cương
提问|tíwèn|hỏi
题目|tímù|đề mục
体会|tǐhuì|cảm nhận
体贴|tǐtiē|sống tình cảm, chu đáo
体现|tǐxiàn|thể hiện
体验|tǐyàn|trải nghiệm
天空|tiānkōng|bầu trời
天真|tiānzhēn|hồn nhiên
调皮|tiáopí|nghịch ngợm
调整|tiáozhěng|điều chỉnh
挑战|tiǎozhàn|thách thức, thử thách, thách
通常|tōngcháng|thông thường
统一|tǒngyī|thống nhất
痛苦|tòngkǔ|đau khổ
痛快|tòngkuài|sung sướng
偷|tōu|ăn trộm
投入|tóurù|đút vào, đầu tư vào,
投资|tóuzī|đầu tư
透明|tòumíng|trong suốt
突出|tūchū|làm nổi bật
土地|tǔdì|đất đai
土豆|tǔdòu|khoai tây
吐|tǔ/tù|nhổ, nôn
兔子|tùzi|con thỏ
团|tuán|cuộn
推辞|tuīcí|từ chối
推广|tuīguǎng|cuộn (danh từ)
推荐|tuījiàn|tiến cử
退|tuì|lùi
退步|tuìbù|lùi bước
退休|tuìxiū|nghỉ hưu
歪|wāi|xiên (nghiêng)
外公|wàigōng|ông ngoại
外交|wàijiāo|ngoại giao
完美|wánměi|hoàn hảo
完善|wánshàn|hoàn thiện
完整|wánzhěng|hoàn chỉnh
玩具|wánjù|đồ chơi
万一|wànyī|vạn nhất, nhỡ
王子|wángzǐ|vua
网络|wǎngluò|mạng internet
往返|wǎngfǎn|khứ hồi
危害|wēihài|nguy hại
威胁|wēixié|uy hiếp
微笑|wēixiào|mỉm cười
违反|wéifǎn|vi phạm
围巾|wéijīn|khăn
围绕|wéirào|xoay quanh, bao quanh, quay quanh
唯一|wéiyī|duy nhất
维修|wéixiū|sửa chữa
伟大|wěidà|vĩ đại
尾巴|wěibā|cái đuôi
委屈|wěiqu|tủi thân
未必|wèibì|chưa chắc
未来|wèilái|tương lai
位于|wèiyú|nằm ở (vị trí địa lý)
位置|wèizhì|vị trí
胃|wèi|dạ dày
胃口|wèikǒu|khẩu vị
温暖|wēnnuǎn|ấm áp
温柔|wēnróu|hiền dịu
文件|wénjiàn|tài liệu
文具|wénjù|đồ dùng học tập
文明|wénmíng|văn minh
文学|wénxué|văn học
文字|wénzì|văn tự
闻|wén|ngửi
吻|wěn|hôn
稳定|wěndìng|ổn định
问候|wènhòu|hỏi thăm
卧室|wòshì|phòng ngủ
握手|wòshǒu|bắt tay
屋子|wūzi|căn nhà
无奈|wúnài|bó tay, không có cách nào
无数|wúshù|vô số
无所谓|wúsuǒwèi|không quan tâm, không để ý
武术|wǔshù|võ thuật
勿|wù|đừng
物理|wùlǐ|vật lý
物质|wùzhì|vật chất
雾|wù|sương mù
吸取|xīqǔ|hút, rút ra (bài học kinh nghiệm)
吸收|xīshōu|thẩm thấu, ngấm
戏剧|xìjù|kịch
系|xì|khoa, hệ
系统|xìtǒng|hệ thống
细节|xìjié|tình tiết
瞎|xiā|mù
下载|xiàzǎi|tải
吓|xià|dọa
夏令营|xiàlìngyíng|trại
鲜艳|xiānyàn|tươi tắn
显得|xiǎndé|lộ rõ
显然|xiǎnrán|hiển nhiên, rõ ràng
显示|xiǎnshì|hiển thị, cho thấy, tôn lên
县|xiàn|huyện
现代|xiàndài|hiện đại
现实|xiànshí|hiện thực
现象|xiànxiàng|hiện tượng
限制|xiànzhì|hạn chế, giới hạn
相处|xiāngchǔ|ở cùng nhau, tiếp xúc nhiều
相当|xiāngdāng|tương đối
相对|xiāngduì|tương đối
相关|xiāngguān|liên quan
相似|xiāngsì|giống
香肠|xiāngcháng|xúc xích
享受|xiǎngshòu|hưởng thụ
想念|xiǎngniàn|nhớ nhung
想象|xiǎngxiàng|tưởng tượng
项|xiàng|hạng, môn (thể thao)
项链|xiàngliàn|dây chuyền
项目|xiàngmù|hạng mục
象棋|xiàngqí|cờ tướng
象征|xiàngzhēng|tượng trưng
消费|xiāofèi|tiêu dùng
消化|xiāohuà|tiêu hóa
消极|xiāojí|tiêu cực
消失|xiāoshī|biến mất
销售|xiāoshòu|bán
小麦|xiǎomài|lúa mạch
小气|xiǎoqì|keo kiệt
孝顺|xiàoshùn|hiếu thảo
效率|xiàolǜ|hiệu suất
歇|xiē|nghỉ ngơi
斜|xié|nghiêng, chéo
写作|xiězuò|viết
血|xiě|máu
心理|xīnlǐ|tâm lý
心脏|xīnzàng|tim
欣赏|xīnshǎng|thưởng thức, đánh giá cao
信号|xìnhào|tín hiệu
信任|xìnrèn|tín nhiệm
行动|xíngdòng|hành động
行人|xíngrén|người đi đường
行为|xíngwéi|hành vi
形成|xíngchéng|hình thành
形容|xíngróng|hình dung
形式|xíngshì|hình thức
形势|xíngshì|tình hình
形象|xíngxiàng|hình tượng
形状|xíngzhuàng|hình dáng, dáng
幸亏|xìngkuī|may mà
幸运|xìngyùn|may mắn
性质|xìngzhì|tính chất
兄弟|xiōngdì|huynh đệ
胸|xiōng|ngực
休闲|xiūxián|nhàn hạ, thoải mái
修改|xiūgǎi|sửa lỗi (văn bản)
虚心|xūxīn|khiêm tốn
叙述|xùshù|kể, thuật
宣布|xuānbù|tuyên bố
宣传|xuānchuán|tuyên truyền
学历|xuélì|trình độ
学术|xuéshù|học thuật
学问|xuéwèn|học vấn
寻找|xúnzhǎo|tìm kiếm
询问|xúnwèn|hỏi han
训练|xùnliàn|huấn luyện
迅速|xùnsù|nhanh chóng, nhanh
押金|yājīn|tiền cọc
牙齿|yáchǐ|răng
延长|yáncháng|kéo dài (thời gian)
严肃|yánsù|nghiêm túc
演讲|yǎnjiǎng|diễn thuyết
宴会|yànhuì|yến tiệc
阳台|yángtái|ban công
痒|yǎng|ngứa
样式|yàngshì|kiểu dáng
腰|yāo|lưng
摇|yáo|lắc
咬|yǎo|cắn
要不|yàobù|nếu không thì
业务|yèwù|nghiệp vụ
业余|yèyú|nghiệp dư
夜|yè|đêm
一辈子|yíbèizi|một đời người
一旦|yídàn|một khi
一律|yílǜ|nhất loạt
一再|yízài|nhiều lần
一致|yízhì|thống nhất
依然|yīrán|vẫn như xưa
移动|yídòng|di động
移民|yímín|di dân
遗憾|yíhàn|hối tiếc
疑问|yíwèn|nghi vấn, nghi ngờ
乙|yǐ|ất
以及|yǐjí|và
以来|yǐlái|trở lại đây (thời gian)
亿|yì|trăm triệu
义务|yìwù|nghĩa vụ
议论|yìlùn|nghị luận
意外|yìwài|ngoài ý muốn
意义|yìyì|ý nghĩa
因而|yīnér|cho nên
因素|yīnsù|nhân tố
银|yín|bạc
印刷|yìnshuā|in ấn
英俊|yīngjùn|tuấn tú
英雄|yīngxióng|anh hùng
迎接|yíngjiē|nghênh đón
营养|yíngyǎng|dinh dưỡng
营业|yíngyè|kinh doanh
影子|yǐngzi|cái bóng
应付|yìngfù|ứng phó
应用|yìngyòng|ứng dụng
硬|yìng|cứng
硬件|yìngjiàn|phần cứng
拥抱|yōngbào|ôm, ôm ấp
拥挤|yōngjǐ|chen chúc, đông đúc
勇气|yǒngqì|dũng khí
用功|yònggōng|dụng công, công phu
用途|yòngtú|cách dùng
优惠|yōuhuì|ưu đãi
优美|yōuměi|trang nhã, thanh lịch, thanh nhã, đẹp, xinh xắn
优势|yōushì|ưu thế
悠久|yōujiǔ|lâu đời
犹豫|yóuyù|do dự
油炸|yóuzhá|chiên giòn
游览|yóulǎn|du ngoạn, thưởng ngoạn
有利|yǒulì|có lợi
幼儿园|yòuéryuán|nhà trẻ
娱乐|yúlè|giải trí
语气|yǔqì|ngữ khí
玉米|yùmǐ|ngô
预报|yùbào|dự báo
预订|yùdìng|đặt trước, dự định trước
预防|yùfáng|phòng, phòng chống
元旦|yuándàn|nguyên đán
员工|yuángōng|nhân công
原料|yuánliào|nguyên liệu
原则|yuánzé|nguyên tắc
圆|yuán|hình tròn
愿望|yuànwàng|nguyện vọng
乐器|yuèqì|nhạc cụ
晕|yūn|say (xe)
运气|yùnqì|vận may
运输|yùnshū|vận tải
运用|yùnyòng|vận dụng
灾害|zāihài|thiên tai
再三|zàisān|hết lần này đến lần khác
在乎|zàihū|để ý
在于|zàiyú|ở chỗ
赞成|zànchéng|tán thành
赞美|zànměi|ca tụng
糟糕|zāogāo|tồi tệ
造成|zàochéng|gây nên
则|zé|qui tắc, qui phạm
责备|zébèi|trách cứ
摘|zhāi|hái
窄|zhǎi|hẹp
粘贴|zhāntiē|dính, dán
展开|zhǎnkāi|xòe ra, triển khai
展览|zhǎnlǎn|triển lãm
占|zhàn|chiếm
战争|zhànzhēng|chiến tranh
长辈|zhǎngbèi|tiền bối
涨|zhàng|tăng lên (giá cả, lương)
掌握|zhǎngwò|nắm vững
账户|zhànghù|tài khoản
招待|zhāodài|chiêu đãi
着火|zháohuǒ|bắt lửa, bén lửa
着凉|zháoliáng|nhiễm lạnh
召开|zhàokāi|triệu tập (cuộc họp)
照常|zhàocháng|như thường lệ
哲学|zhéxué|triết học
针对|zhēnduì|nhằm (tổ chức, người, vấn đề)
珍惜|zhēnxī|trân trọng
真实|zhēnshí|chân thực
诊断|zhěnduàn|chẩn đoán
阵|zhèn|trận (chiến đấu, chiến tranh), khoảng thời gian, mùi hương
振动|zhèndòng|trấn động
争论|zhēnglùn|tranh luận
争取|zhēngqǔ|tranh thủ (ủng hộ, ý kiến)
征求|zhēngqiú|trưng cầu (ý kiến, ý kiến phản hồi), xin (ý kiến lãnh đạo, đồng ý)
睁|zhēng|mở to mắt, trợn mắt
整个|zhěnggè|cả, toàn bộ
整齐|zhěngqí|gọn gàng, ngăn nắp
整体|zhěngtǐ|tổng thể
正|zhèng|đứng (trái )
证件|zhèngjiàn|giấy tờ
证据|zhèngjù|chứng cứ
政府|zhèngfǔ|chính phủ
政治|zhèngzhì|chính trị
挣|zhèng|tranh, giành
支|zhī|chiếc (lượng từ cho bút…)
支票|zhīpiào|ngân phiếu
执照|zhízhào|giấy phép
直|zhí|thẳng
指导|zhǐdǎo|chỉ đạo
指挥|zhǐhuī|chỉ huy
至今|zhìjīn|đến nay
至于|zhìyú|còn như…..
志愿者|zhìyuànzhě|tình nguyện viên
制定|zhìdìng|lập ra, thiết lập, xây dựng, lập (chính sách, qui định, kế hoạch, sách lược, phương án)
制度|zhìdù|chế độ, chính sách
制造|zhìzào|sản xuất
制作|zhìzuò|làm, chế tạo
治疗|zhìliáo|điều trị
秩序|zhìxù|trật tự
智慧|zhìhuì|trí tuệ
中介|zhōngjiè|môi giới, trung gian
中心|zhōngxīn|trung tâm
中旬|zhōngxún|trung tuần
种类|zhǒnglèi|chủng loại
重大|zhòngdà|trọng đại, lớn
重量|zhòngliàng|trọng lượng
周到|zhōudào|chu đáo
猪|zhū|con lợn
竹子|zhúzi|cây trúc
逐步|zhúbù|từng bước
逐渐|zhújiàn|dần dần
主持|zhǔchí|dẫn (chương trình),
主动|zhǔdòng|chủ động
主观|zhǔguān|chủ quan
主人|zhǔrén|chủ nhân
主任|zhǔrèn|chủ nhiệm
主题|zhǔtí|chủ đề
主席|zhǔxí|chủ tịch
主张|zhǔzhāng|ý tưởng, ý kiến
煮|zhǔ|luộc, đun
注册|zhùcè|đăng kí
祝福|zhùfú|chúc phúc
抓|zhuā|bắt, véo
抓紧|zhuājǐn|(tay) nắm chắc, tranh thủ (thời gian)
专家|zhuānjiā|chuyên gia
专心|zhuānxīn|chuyên tâm
转变|zhuǎnbiàn|chuyển biến
转告|zhuǎngào|chuyển lời
装|zhuāng|đựng, chứa
装饰|zhuāngshì|trang hoàng, trang trí
装修|zhuāngxiū|sửa nội thất
状况|zhuàngkuàng|tình trạng
状态|zhuàngtài|trạng thái
撞|zhuàng|va vào, đâm vào
追|zhuī|đuổi theo
追求|zhuīqiú|theo đuổi
咨询|zīxún|tư vấn
姿势|zīshì|tư thế
资格|zīgé|tư cách
资金|zījīn|vốn (tiền)
资料|zīliào|tư liệu
资源|zīyuán|nguồn tài nguyên
紫|zǐ|màu tím
自从|zìcóng|từ khi….
自动|zìdòng|tự động
自豪|zìháo|tự hào, kiêu ngạo
自觉|zìjué|tự giác
自私|zìsī|ích kỉ
自由|zìyóu|tự do
自愿|zìyuàn|tình nguyện, tự nguyện
字母|zìmǔ|chữ cái
字幕|zìmù|phụ đề
综合|zōnghé|tổng hợp
总裁|zǒngcái|giám đốc
总共|zǒnggòng|tổng cộng
总理|zǒnglǐ|thủ tướng
总算|zǒngsuàn|rốt cuộc
总统|zǒngtǒng|tổng thống
总之|zǒngzhī|tóm lại
阻止|zǔzhī|ngăn chặn, ngăn cản
组|zǔ|tổ, cụm, nhóm
组成|zǔchéng|tổ thành
组合|zǔhé|tổ hợp, tổ hợp thành, nhóm
组织|zǔzhī|tổ chức
最初|zuìchū|ban đầu
醉|zuì|say, say đắm
尊敬|zūnjìng|tôn kính, kính trọng
遵守|zūnshǒu|tuân thủ
作品|zuòpǐn|tác phẩm
作为|zuòwéi|coi là, làm, là
作文|zuòwén|bài viết

=== HSK6 ===
暧昧|àimèi|yêu đương, tình yêu, mập mờ
爱戴|àidài|yêu thương, tình yêu thương
癌症|áizhèng|ung thư
挨|āi/ái|sát cạnh, lần lượt, chịu
爱不释手|àibùshìshǒu|quyến luyến không rời, thích mê
安置|ānzhì|sắp xếp, sắp đặt, bố trí
案件|ànjiàn|vụ án
案例|ànlì|án mẫu
按摩|ànmó|xoa bóp
暗示|ànshì|ám chỉ, ra hiệu
安宁|ānníng|yên ổn, thoải mái (tâm hồn)
熬|áo|nấu, đun (thuốc), chịu đựng, thức
奥秘|àomì|huyền bí
凹凸|āotū|lỗi lõm
安详|ānxiáng|ung dung, khoan thai
昂贵|ángguì|đắt tiền, xa xỉ
颁布|bānbù|ban hành
霸道|bàdào|bá đạo, lấn át, độc tài
败坏|bàihuài|hủy hoại, suy đồi
罢工|bàgōng|bãi công
疤|bā|vết thương
摆脱|bǎituō|thoát khỏi
掰|bāi|bẻ
拜访|bàifǎng|thăm, đến thăm
拜托|bàituō|nhờ, nhờ vả
拜年|bàinián|chúc tết
拔苗助长|bámiáozhùzhǎng|giục tốc bất đạt
把手|bǎshǒu|tay nắm cửa
把关|bǎguān|canh giữ, nắm chắc (chất lượng), kiểm định
扒|bā|nắm chắc
巴结|bājie|nịnh bợ
巴不得|bābùdé|những mong sao
颁发|bānfā|trao tặng (giải thưởng, phần thưởng)
绑架|bǎngjià|bắt cóc
磅|bàng|pound (đơn vị đo cân nặng)
版本|bǎnběn|phiên bản
榜样|bǎngyàng|tấm gương
斑|bān|vết (sẹo, chàm, bẩn)
扮演|bànyǎn|đóng vai, sắm vai
半途而废|bàntúérfèi|bỏ cuộc giữa chừng
包装|bāozhuāng|đóng gói, hộp, kiện hàng, lăng xê (ca sĩ, diễn viên)
包袱|bāofu|tay nải, gánh nặng
保障|bǎozhàng|bảo vệ (quyền lợi, tài sản, tính mạng, sự an toàn), bảo hiểm
保养|bǎoyǎng|bảo dưỡng (xe cộ, máy móc), chăm sóc (cơ thê)
保卫|bǎowèi|bảo vệ, giữ gìn (hòa bình, chủ quyền, đất nước, trật tự trị an)
保守|bǎoshǒu|giữ kín (bí mật), bảo thủ
保姆|bǎomǔ|bảo mẫu
保密|bǎomì|giữ bí mật, bảo mật
保管|bǎoguǎn|bảo quản, nhân viên kho
饱经沧桑|bǎojīngcāngsāng|trải qua bao sóng gió
饱和|bǎohé|bão hòa
伴侣|bànlǚ|bạn đời
伴随|bànsuí|đồng hành
包围|bāowéi|bao quanh, bao vây
包庇|bāobì|bao che, che đậy, lấp liếm
保重|bǎozhòng|bảo trọng
报仇|bàochóu|báo thù
报酬|bàochóu|thù lao
报答|bàodá|báo đáp, trả ơn
报复|bàofù|trả thù
报警|bàojǐng|báo cảnh sát
报销|bàoxiāo|thanh toán chi phí
抱负|bàofù|hoài bão
暴力|bàolì|bạo lực
暴露|bàolù|lộ rõ (kết hợp danh từ), lộ ra (không nói về bí mật)
曝光|bàoguāng|lộ hết ra, phơi bày (việc ẩn khuất, việc xấu)
爆发|bàofā|bùng nổ (chiến tranh, bạo lực)
爆炸|bàozhà|nổ, nổ tung
贝壳|bèiké|vỏ (ốc, sò, hến, ngao)
被告|bèigào|bị cáo
被动|bèidòng|bị động
背诵|bèisòng|đọc thuộc
背叛|bèipàn|phản bội
本钱|běnqián|tiền vốn
本能|běnnéng|bản năng
